Series Name,Series Code,Country Name,Country Code,Year,Year Code,Value
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,American Samoa,ASM,2009,YR2009,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,American Samoa,ASM,2010,YR2010,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,American Samoa,ASM,2011,YR2011,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,American Samoa,ASM,2012,YR2012,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,American Samoa,ASM,2013,YR2013,..
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Australia,AUS,2009,YR2009,57.29778321
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Australia,AUS,2010,YR2010,58.01326289
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Australia,AUS,2011,YR2011,57.21991445
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Australia,AUS,2012,YR2012,57.08280499
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Australia,AUS,2013,YR2013,57.08280499
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Brunei Darussalam,BRN,2009,YR2009,97.82608696
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Brunei Darussalam,BRN,2010,YR2010,97.82608696
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Brunei Darussalam,BRN,2011,YR2011,97.82608696
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Brunei Darussalam,BRN,2012,YR2012,97.82608696
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Brunei Darussalam,BRN,2013,YR2013,97.82608696
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Cambodia,KHM,2009,YR2009,75.94800753
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Cambodia,KHM,2010,YR2010,79.51692151
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Cambodia,KHM,2011,YR2011,80.27600659
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Cambodia,KHM,2012,YR2012,75.04068078
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,Cambodia,KHM,2013,YR2013,75.14357793
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,China,CHN,2009,YR2009,78.86010263
Out-of-pocket health expenditure (% of private expenditure on health),SH.XPD.OOPC.ZS,China,CHN,2010,YR2010,77.24190587
