Year,0-4,9-May,14-Oct,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Missing,Total
1980,52,16,9,6,9,4,2,12,15,20,24,33,32,71,47,47,61,67,0,527
1981,59,11,12,12,10,8,8,8,13,14,26,41,30,45,62,59,60,67,0,545
1982,59,10,7,10,5,11,12,7,6,15,19,31,28,51,61,64,68,73,0,537
1983,38,5,12,8,7,12,10,13,15,12,30,29,44,46,69,84,69,72,0,575
1984,36,2,8,8,6,7,6,7,8,17,22,28,47,49,63,68,68,67,0,517
1985,41,4,9,10,10,13,8,7,10,14,16,27,53,54,81,92,82,92,0,623
1986,29,5,5,11,8,11,17,12,12,14,19,19,48,43,81,80,81,103,0,598
1987,31,7,9,11,9,16,12,16,21,24,13,35,37,56,80,99,64,104,0,644
1988,42,9,10,8,13,11,17,16,25,20,35,30,39,62,76,108,91,121,0,733
1989,35,9,4,12,8,10,20,20,13,19,29,40,45,65,80,105,110,137,0,761
1990,45,4,3,12,9,14,18,22,27,24,28,20,55,69,78,108,117,149,1,803
1991,44,5,11,8,5,10,16,25,23,19,30,27,59,64,74,138,133,139,0,830
1992,34,6,3,8,5,12,20,22,22,21,22,33,60,82,95,141,121,187,0,894
1993,41,6,4,7,5,9,10,22,23,18,30,24,43,80,99,159,150,203,0,933
1994,26,4,7,13,7,23,40,38,34,38,24,31,44,80,97,173,166,197,0,1042
1995,26,7,5,9,7,14,30,33,29,38,20,46,51,87,108,141,167,252,0,1070
1996,30,3,6,9,15,53,125,123,108,92,59,68,52,98,125,179,211,282,0,1638
1997,30,7,5,13,12,30,53,67,72,61,57,55,55,106,149,169,225,356,0,1522
1998,36,3,7,11,12,20,36,62,53,46,47,41,69,84,123,214,230,360,0,1454
1999,33,3,3,11,17,26,34,47,54,53,65,47,56,86,148,255,247,418,0,1603
2000,36,5,6,9,9,19,31,49,65,51,53,48,73,81,131,259,292,429,0,1646
2001,49,4,4,8,10,11,19,46,65,62,51,60,70,80,139,237,304,456,0,1675
2002,41,7,2,9,14,11,19,44,60,75,70,68,79,81,138,248,309,514,1,1790
2003,31,1,1,7,10,10,17,40,58,87,58,59,52,101,158,279,282,503,0,1754
2004,32,5,1,6,5,11,20,29,47,77,61,61,86,118,144,248,328,528,0,1807
2005,32,4,3,4,5,9,9,36,54,61,62,57,71,93,131,248,300,522,0,1701
2006,32,4,2,6,9,11,18,30,55,77,77,88,90,105,156,272,359,578,0,1969
2007,16,3,2,4,8,11,19,20,46,66,80,96,91,109,146,223,300,617,0,1857
2008,27,4,3,6,7,11,13,38,37,85,88,81,85,113,154,231,335,651,0,1969
2009,40,5,2,4,8,6,10,17,40,82,95,96,76,119,143,198,280,605,0,1826
2010,35,2,2,1,5,7,22,19,40,68,91,100,101,125,164,238,363,770,0,2153
2011,27,4,3,5,5,6,14,25,45,81,124,130,125,127,189,243,413,834,0,2400
2012,23,2,0,5,5,2,10,24,51,69,101,117,114,125,172,281,393,900,0,2394
2013,26,4,2,5,6,6,11,23,44,70,106,147,127,157,185,277,416,1064,0,2676
