X1,X2,V3
1,1,0
1,2,-9
1,3,-24
1,4,-45
1,5,-72
1,6,-105
1,7,-144
1,8,-189
1,9,-240
1,10,-297
1,11,-360
1,12,-429
1,13,-504
1,14,-585
1,15,-672
1,16,-765
1,17,-864
1,18,-969
1,19,-1080
1,20,-1197
1,21,-1320
1,22,-1449
1,23,-1584
1,24,-1725
1,25,-1872
1,26,-2025
1,27,-2184
1,28,-2349
1,29,-2520
1,30,-2697
1,31,-2880
1,32,-3069
1,33,-3264
1,34,-3465
1,35,-3672
1,36,-3885
1,37,-4104
1,38,-4329
1,39,-4560
1,40,-4797
1,41,-5040
1,42,-5289
1,43,-5544
1,44,-5805
1,45,-6072
1,46,-6345
1,47,-6624
1,48,-6909
1,49,-7200
1,50,-7497
1,51,-7800
1,52,-8109
1,53,-8424
1,54,-8745
1,55,-9072
1,56,-9405
1,57,-9744
1,58,-10089
1,59,-10440
1,60,-10797
1,61,-11160
1,62,-11529
1,63,-11904
1,64,-12285
1,65,-12672
1,66,-13065
1,67,-13464
1,68,-13869
1,69,-14280
1,70,-14697
1,71,-15120
1,72,-15549
1,73,-15984
1,74,-16425
1,75,-16872
1,76,-17325
1,77,-17784
1,78,-18249
1,79,-18720
1,80,-19197
1,81,-19680
1,82,-20169
1,83,-20664
1,84,-21165
1,85,-21672
1,86,-22185
1,87,-22704
1,88,-23229
1,89,-23760
1,90,-24297
1,91,-24840
1,92,-25389
1,93,-25944
1,94,-26505
1,95,-27072
1,96,-27645
1,97,-28224
1,98,-28809
1,99,-29400
1,100,-29997
2,1,6
2,2,-3
2,3,-18
2,4,-39
2,5,-66
2,6,-99
2,7,-138
2,8,-183
2,9,-234
2,10,-291
2,11,-354
2,12,-423
2,13,-498
2,14,-579
2,15,-666
2,16,-759
2,17,-858
2,18,-963
2,19,-1074
2,20,-1191
2,21,-1314
2,22,-1443
2,23,-1578
2,24,-1719
2,25,-1866
2,26,-2019
2,27,-2178
2,28,-2343
2,29,-2514
2,30,-2691
2,31,-2874
2,32,-3063
2,33,-3258
2,34,-3459
2,35,-3666
2,36,-3879
2,37,-4098
2,38,-4323
2,39,-4554
2,40,-4791
2,41,-5034
2,42,-5283
2,43,-5538
2,44,-5799
2,45,-6066
2,46,-6339
2,47,-6618
2,48,-6903
2,49,-7194
2,50,-7491
2,51,-7794
2,52,-8103
2,53,-8418
2,54,-8739
2,55,-9066
2,56,-9399
2,57,-9738
2,58,-10083
2,59,-10434
2,60,-10791
2,61,-11154
2,62,-11523
2,63,-11898
2,64,-12279
2,65,-12666
2,66,-13059
2,67,-13458
2,68,-13863
2,69,-14274
2,70,-14691
2,71,-15114
2,72,-15543
2,73,-15978
2,74,-16419
2,75,-16866
2,76,-17319
2,77,-17778
2,78,-18243
2,79,-18714
2,80,-19191
2,81,-19674
2,82,-20163
2,83,-20658
2,84,-21159
2,85,-21666
2,86,-22179
2,87,-22698
